athlete_id,athlete_display_name,team,pos,headshot,gp,min_pg,pts_pg,reb_pg,ast_pg,bpm,impact
4432816.0,LaMelo Ball,MIN,G,https://a.espncdn.com/i/headshots/nba/players/full/4432816.png,72,27.99,20.07,4.82,7.14,4.7,2.74
3202.0,Kevin Durant,HOU,F,https://a.espncdn.com/i/headshots/nba/players/full/3202.png,81,35.42,25.16,5.3,4.62,4.5,3.32
4594268.0,Anthony Edwards,MIN,G,https://a.espncdn.com/i/headshots/nba/players/full/4594268.png,64,33.75,27.95,4.86,3.58,4.5,3.16
4683021.0,Deni Avdija,POR,F,https://a.espncdn.com/i/headshots/nba/players/full/4683021.png,68,32.6,23.57,6.69,6.56,4.3,2.92
4701230.0,Jalen Johnson,ATL,F,https://a.espncdn.com/i/headshots/nba/players/full/4701230.png,75,34.05,21.8,9.92,7.57,4.2,2.98
4433134.0,Scottie Barnes,TOR,F,https://a.espncdn.com/i/headshots/nba/players/full/4433134.png,83,32.55,17.58,7.35,5.76,4.2,2.85
4871144.0,Alperen Sengun,HOU,C,https://a.espncdn.com/i/headshots/nba/players/full/4871144.png,74,32.57,19.82,8.72,6.07,4.2,2.85
4433255.0,Chet Holmgren,OKC,C,https://a.espncdn.com/i/headshots/nba/players/full/4433255.png,72,28.0,16.54,8.58,1.61,4.2,2.45
3936299.0,Jamal Murray,DEN,G,https://a.espncdn.com/i/headshots/nba/players/full/3936299.png,77,34.73,24.84,4.34,7.05,4.1,2.97
2991350.0,Alex Caruso,OKC,G,https://a.espncdn.com/i/headshots/nba/players/full/2991350.png,56,18.25,6.21,2.77,1.96,4.09,1.56
3032977.0,Giannis Antetokounmpo,MIA,F,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,36,28.86,27.58,9.78,5.44,4.03,2.42
